Index,STATION,ENTRYCOUNT
204,E 180 ST,212065.0
243,HOYT ST,209874.0
238,HARRISON,207297.0
54,3 AV 138 ST,206564.0
32,18 ST,205018.0
193,COURT SQ-23 ST,200188.0
363,WEST FARMS SQ,199396.0
228,GRAND ARMY PLAZ,198797.0
27,174 ST,193044.0
331,ROOSEVELT ISLND,192021.0
355,V.CORTLANDT PK,188826.0
300,NEWKIRK AV,187487.0
184,CITY HALL,185139.0
315,PELHAM BAY PARK,185127.0
370,WOODLAWN,184268.0
280,MORGAN AV,183322.0
277,METS-WILLETS PT,183221.0
329,ROCKAWAY BLVD,182111.0
162,BROAD ST,180673.0
254,JEFFERSON ST,179924.0
62,36 AV,179684.0
307,OZONE PK LEFFRT,176526.0
40,207 ST,176369.0
368,WINTHROP ST,175368.0
53,3 AV,172994.0
302,NORTHERN BLVD,172707.0
226,GATES AV,172680.0
281,MORISN AV/SNDVW,171935.0
209,ELDER AV,171072.0
245,HUNTERS PT AV,169508.0
19,155 ST,169405.0
263,KINGSTON-THROOP,168494.0
311,PARSONS BLVD,168440.0
175,CASTLE HILL AV,168065.0
185,CLARK ST,166499.0
279,MONTROSE AV,165096.0
208,EASTN PKWY-MUSM,164248.0
190,CORTELYOU RD,162644.0
30,176 ST,160293.0
35,183 ST,160275.0
364,WESTCHESTER SQ,159772.0
166,BROOK AV,159385.0
80,52 ST,157456.0
18,15 ST-PROSPECT,157246.0
294,NEW LOTS AV,156602.0
86,6 AV,156419.0
50,25 AV,155617.0
324,RALPH AV,155596.0
356,VAN SICLEN AV,155461.0
128,AVENUE J,154325.0
332,SARATOGA AV,152481.0
310,PARKSIDE AV,151490.0
353,UNION ST,150393.0
231,GRANT AV,148873.0
249,JACKSON AV,148842.0
129,AVENUE M,148051.0
286,MYRTLE-WILLOUGH,147558.0
274,MARBLE HILL-225,145548.0
39,20 AV,144713.0
343,STERLING ST,144325.0
95,71 ST,144140.0
28,174-175 STS,142075.0
138,BAY RIDGE-95 ST,141778.0
118,ALLERTON AV,140842.0
284,MT EDEN AV,139991.0
221,FRANKLIN ST,139108.0
308,PARK PLACE,138501.0
265,KOSCIUSZKO ST,138476.0
34,182-183 STS,137682.0
361,WAKEFIELD/241,137542.0
