Index,STATIONLINE,ENTRYCOUNT
112,5 AVE_7BDFM,309682.0
44,168 ST_AC1,308370.0
56,181 ST_1,308258.0
174,ASTORIA BLVD_NQW,307510.0
88,33 ST-RAWSON ST_7,303537.0
434,SPRING ST_CE,302756.0
8,111 ST_7,300988.0
193,BAY PKWY_N,298237.0
210,BERGEN ST_FG,297319.0
413,PROSPECT PARK_BQS,297309.0
136,7 AV_FG,296756.0
237,CARROLL ST_FG,295126.0
37,157 ST_1,293526.0
38,161/YANKEE STAD_4BD,292354.0
290,FORDHAM RD_4,292216.0
269,DEKALB AV_L,288782.0
160,86 ST_R,288442.0
433,SPRING ST_6,286278.0
91,34 ST-HUDSON YD_7,285488.0
57,181 ST_A,283838.0
231,BURNSIDE AV_4,279898.0
414,QUEENS PLAZA_EMR,277617.0
472,YORK ST_F,274756.0
389,NEWKIRK PLAZA_BQ,274558.0
100,40 ST LOWERY ST_7,271455.0
29,145 ST_1,269692.0
250,CHURCH AV_FG,269110.0
42,167 ST_BD,266623.0
326,HOYT-SCHER_ACG,263827.0
442,THIRTY ST_1,263059.0
245,CHAMBERS ST_JZ456,261592.0
328,HUNTS POINT AV_6,259380.0
66,21 ST-QNSBRIDGE_F,258728.0
380,NEVINS ST_2345,258646.0
135,7 AV_BQ,258374.0
158,86 ST_BC,258095.0
448,TREMONT AV_BD,256507.0
223,BROADWAY JCT_ACJLZ,255761.0
363,METROPOLITAN AV_GL,253142.0
76,231 ST_1,252097.0
242,CENTRAL PK N110_23,249296.0
430,SIMPSON ST_25,246184.0
346,KINGSBRIDGE RD_4,245320.0
306,GRAHAM AV_L,245249.0
263,COURT SQ_EMG,243493.0
406,PELHAM PKWY_25,242481.0
41,167 ST_4,241313.0
313,GREENPOINT AV_G,241013.0
248,CHURCH AV_25,240167.0
330,INWOOD-207 ST_A,239271.0
33,14TH STREET_1,238303.0
109,4AV-9 ST_DFGMNR,238134.0
338,JFK JAMAICA CT1_E,236345.0
376,NASSAU AV_G,234667.0
352,LACKAWANNA_1,234626.0
167,96 ST_BC,233447.0
288,FLUSHING AV_JM,231115.0
46,170 ST_4,225693.0
208,BEDFORD-NOSTRAN_G,224623.0
45,169 ST_F,223308.0
391,NORWOOD 205 ST_D,222701.0
131,67 AV_MR,221756.0
106,46 ST_MR,221005.0
371,MOSHOLU PKWY_4,220432.0
417,RECTOR ST_1,219441.0
61,191 ST_1,219385.0
449,TWENTY THIRD ST_1,218981.0
140,72 ST_BC,215215.0
104,45 ST_R,214047.0
322,HIGH ST_AC,213612.0
276,E 180 ST_25,212065.0
347,KINGSBRIDGE RD_BD,211714.0
325,HOYT ST_23,209874.0
320,HARRISON_1,207297.0
84,3 AV 138 ST_6,206564.0
55,18 ST_1,205018.0
315,GUN HILL RD_25,202983.0
411,PROSPECT AV_25,200369.0
261,COURT SQ-23 ST_EMG,200188.0
